130571,60175400,8
6575,345433491,8
218121,553377868,8
81597,67976402X,9
106007,517693119,10
101606,679723161,8
110912,553572040,8
274301,740723367,10
125519,38550120X,9
224997,553296981,8
21014,440235596,8
196160,140092323,6
240144,671660632,8
125774,385503954,10
37712,62502182,9
83671,345334531,10
89602,140003180X,8
229741,157322930X,7
113270,140265686,7
211426,670813028,9
37712,345370775,8
127359,805063897,8
170513,38529929X,9
6242,142001430,7
110934,452281784,9
66680,743206045,6
246311,385492081,9
200226,399145990,7
177432,449213943,7
59172,670032549,7
21014,312978383,7
163570,34530988X,10
78553,395177111,10
133296,515134449,10
254465,446601241,10
8253,60928336,10
6575,446600660,7
173415,312966970,8
144531,312983271,7
255489,441005748,8
235935,743229878,8
6543,375704027,9
136010,449005836,8
266865,345350685,9
37950,449908100,10
210485,345354915,8
261829,446611085,8
164323,767900383,8
274061,345384911,10
125774,312974256,8
105979,375500510,7
240144,671027360,8
128835,28604202,9
227705,425183971,9
37712,679429220,10
53220,671024248,8
27472,55321330X,8
246311,553268929,6
242083,345337662,7
240567,312971346,9
6251,688149790,7
240567,44022165X,6
28634,425172546,9
8245,688177743,9
6563,439139600,9
225087,1558531025,10
85526,142001619,8
251844,446604801,6
258185,312306326,9
78553,55358099X,10
106007,345379330,8
52584,60981180,8
110934,312966970,9
181687,312986343,7
268300,345339681,8
69971,553562738,10
8245,515131229,8
8067,312284683,10
258534,425141233,9
210485,155874262X,9
113519,60958022,8
227447,60938455,10
126196,60987561,9
78783,385336179,9
221445,345387651,9
258185,515128554,8
178522,316666009,8
37712,385501560,9
105028,60987561,9
274301,380730820,8
102702,449002551,8
224430,375412824,8
251844,440122090,8
194600,671693816,6
162052,449219364,10
37644,441005489,7
156269,440208459,8
27472,440235464,7
163804,316603287,7
87555,316779490,9
224138,156007754,10
60707,375703675,9
179718,1570613818,6
158433,446601241,8
98758,684853523,10
147847,61097101,9
76151,671003356,10
223501,67169071X,8
187256,14029628X,9
55492,452282152,8
8454,156007479,10
239584,345422783,6
146113,380759497,8
177432,553271636,8
130571,449221512,8
56447,140067477,8
43910,375412530,8
219683,451166604,9
89602,553274503,7
144531,440224764,8
181687,767905180,8
91113,441005748,9
247447,425178579,9
190925,425158616,7
135045,425153975,7
216683,671532642,7
229011,440213525,6
242083,451167783,8
88693,425150984,8
52584,451184963,10
21014,440431808,9
47316,842329129,10
69697,515132764,9
31556,345272609,9
197364,553213512,6
73681,451456521,9
93629,671623249,8
136382,395177111,8
136382,312991460,6
89602,679736042,6
149908,860074382,8
255489,451409000,8
277427,399149562,7
113270,67976397X,8
10447,894808249,7
220688,452282152,10
83671,345409671,7
141493,842314296,10
147847,425172546,8
25409,449000265,9
264031,345435028,10
178522,684835983,8
179718,385335466,10
266056,55358264X,7
101305,767902513,10
229741,811802981,8
124487,440226430,9
85757,452282268,6
251844,553213172,10
22625,99771519,10
60707,590353403,10
37950,451527097,10
265115,1575667223,10
274301,451203771,10
265115,1551669293,10
224349,679444815,9
271448,439139600,10
136348,553571656,8
219683,441172695,9
224764,553280945,10
123981,440202043,8
266056,84232920X,8
235935,440213029,8
10560,765345048,8
274061,671042858,10
245410,345435273,8
149908,553212478,8
124876,618002227,9
247447,446356611,9
235392,425158616,8
53220,425182673,7
43910,37541388X,7
114544,385502532,6
203240,515118656,7
200226,515128546,8
112001,515122734,10
105979,805063889,9
6543,61009504,10
224764,60987561,10
6575,345391802,8
146113,740704818,8
83287,1559029838,10
101606,446604658,8
143415,37582233X,9
98904,451147367,10
113519,68487217X,9
124487,425143325,9
39281,140265686,10
92810,42516828X,7
232131,316103098,8
53220,380718340,8
206534,836220870,9
122793,446601640,8
105028,743457358,7
231237,60917016,10
148744,345459202,8
27472,425179672,10
114544,37570910X,8
172742,60502258,9
68555,515090654,6
240567,345370775,7
229741,2542730X,7
66942,60652934,10
106007,316182540,8
43910,385498802,7
258534,44021873X,10
223501,553250531,8
140000,142001430,10
160558,14006690X,10
124876,441001971,8
225087,60915544,10
223501,671028383,7
268300,553579754,7
6575,60929790,8
239584,671038184,7
43246,786866586,9
104399,439064864,10
123981,425166619,8
81597,671014919,8
239584,670030643,7
147847,312971346,9
104399,446515078,10
232131,449223604,8
244685,440211727,10
193898,553571818,9
218121,64407055,7
163570,380718839,10
277427,553581929,9
135045,440211727,8
216683,671020323,8
251843,553586122,8
105517,440498058,7
12982,671537458,7
8253,34536676X,10
150979,786866772,7
105517,42511774X,10
12538,67151699X,9
112001,553272837,10
37712,142001740,9
135045,671461494,10
274061,452280621,10
110912,31242227X,9
218568,385335881,9
115435,345417623,7
232945,425109720,9
254206,452278902,10
258534,553271636,8
258534,440224721,8
246311,786866020,7
206534,740723367,7
65584,425155943,8
115435,446670251,7
125774,380818973,8
125519,316693200,9
165319,425172546,7
247447,42518630X,8
35857,345435028,9
193499,399141146,10
37950,345384210,7
69971,380816547,8
43842,1885171080,8
110934,679742298,9
187256,671442686,8
224138,451197747,10
8253,891073906,9
232131,61096113,6
89602,61059064,8
75591,316107352,10
129716,316777722,10
236340,385472951,8
43246,786865504,8
105517,345391055,8
208829,380728133,10
177432,451186362,8
10560,452281431,8
218121,380714752,8
75591,439064864,10
56447,64407055,9
265889,515136379,10
101305,140053204,8
109901,671024248,10
196160,670839531,10
101305,671510053,8
231210,312421273,7
92810,61098752,7
181687,609807900,8
165308,14028009X,10
67840,1551667010,10
224764,451190548,6
110934,553213105,10
12982,671871005,8
112001,385508042,9
123981,312924585,9
159506,425179885,7
130571,805063897,8
89602,449003795,7
88693,140042407,8
127359,446604658,7
68555,671795538,6
245410,60934700,7
224430,375400117,10
36907,60935464,10
261829,679463070,8
81560,345391810,8
37950,812550307,8
245410,345313860,8
102702,515132764,10
68555,1558745017,8
177072,451173139,9
22625,446530522,10
4017,399145079,9
129716,345384466,9
244627,67173783X,10
236283,805010858,10
21014,141301155,10
8454,60987529,9
143415,38542017X,9
247447,380899531,9
5582,425152251,10
200226,60198125,6
55492,609610597,7
244627,553575023,10
126736,553295772,10
246311,1573227331,7
148744,14025448X,9
254206,441102670,10
115435,385492081,10
106225,385503822,7
227447,425166619,7
210485,44021145X,8
36907,618002235,10
143415,679744398,10
